Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketLength,InfoPacket,Signature
2023-10-31 00:26:02,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,20.198.119.84,49681,443,6,60,192.168.152.139:49681 -> 20.198.119.84:443 6 Length=60,192.168.152.139_20.198.119.84/6/Non-HTTP
2023-10-31 00:26:11,20.198.119.84,192.168.152.139,443,49681,6,60,20.198.119.84:443 -> 192.168.152.139:49681 6 Length=60,20.198.119.84_192.168.152.139/6/Non-HTTP
2023-10-31 00:26:11,20.198.119.84,192.168.152.139,443,49681,6,60,20.198.119.84:443 -> 192.168.152.139:49681 6 Length=60,20.198.119.84_192.168.152.139/6/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,20.198.119.84,49681,443,6,60,192.168.152.139:49681 -> 20.198.119.84:443 6 Length=60,192.168.152.139_20.198.119.84/6/Non-HTTP
2023-10-31 00:26:12,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:14,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:18,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:32,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:32,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:32,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:32,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:33,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:38,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:39,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:40,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:41,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:41,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:41,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:42,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:42,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
